Epoch	LR	Train Loss	
1.000000	0.000500	2.608727	
2.000000	0.000500	1.732970	
3.000000	0.000500	1.232368	
4.000000	0.000500	0.916538	
5.000000	0.000500	0.712191	
6.000000	0.000500	0.574486	
7.000000	0.000250	0.483409	
8.000000	0.000250	0.436209	
9.000000	0.000250	0.397239	
10.000000	0.000250	0.366131	
11.000000	0.000250	0.337863	
12.000000	0.000250	0.317920	
13.000000	0.000125	0.289302	
14.000000	0.000125	0.276531	
15.000000	0.000125	0.262626	
16.000000	0.000125	0.253421	
17.000000	0.000125	0.244032	
18.000000	0.000125	0.235198	
19.000000	0.000063	0.220119	
20.000000	0.000063	0.211833	
21.000000	0.000063	0.206407	
22.000000	0.000063	0.200283	
23.000000	0.000063	0.197092	
24.000000	0.000063	0.192435	
25.000000	0.000031	0.185381	
26.000000	0.000031	0.180873	
27.000000	0.000031	0.178458	
28.000000	0.000031	0.176324	
29.000000	0.000031	0.173991	
30.000000	0.000031	0.171982	
31.000000	0.000016	0.167833	
32.000000	0.000016	0.166147	
